date,ticker,name,side,entry,tp,sl,exit,exit_reason,pnl_lot,status
2026-06-02,2382.TW,Quanta,LONG,378.0,387.45,374.22,,,,OPEN
2026-06-02,1326.TW,Formosa Chem,LONG,55.1,56.48,54.55,,,,OPEN
2026-06-02,3034.TW,Novatek,LONG,497.5,509.94,492.52,,,,OPEN
2026-06-02,2354.TW,Foxconn Tech,LONG,63.2,64.78,62.57,,,,OPEN
2026-06-03,2317.TW,Foxconn,LONG,311.5,319.29,308.38,,,,OPEN
2026-06-03,2354.TW,Foxconn Tech,LONG,65.9,67.55,65.24,,,,OPEN
2026-06-03,1301.TW,Formosa Plas,LONG,52.1,53.4,51.58,,,,OPEN
2026-06-03,3034.TW,Novatek,LONG,506.0,518.65,500.94,,,,OPEN
2026-06-04,3034.TW,Novatek,SHORT,491.0,478.72,495.91,,,,OPEN
2026-06-04,2354.TW,Foxconn Tech,SHORT,63.1,61.52,63.73,,,,OPEN
2026-06-04,2881.TW,Fubon Fin,LONG,113.0,115.82,111.87,,,,OPEN
2026-06-05,0050.TW,TW50 ETF,SHORT,104.65,102.03,105.7,,,,OPEN
2026-06-05,2317.TW,Foxconn,SHORT,284.0,276.9,286.84,,,,OPEN
2026-06-05,2330.TW,TSMC,SHORT,2380.0,2320.5,2403.8,,,,OPEN
2026-06-05,1301.TW,Formosa Plas,SHORT,49.25,48.02,49.74,,,,OPEN
2026-06-08,2891.TW,CTBC Fin,SHORT,65.4,63.77,66.05,,,,OPEN
